example,method,family,status,source_level,h_values,t_end,reference_h,reference_policy,error_norm,position_order,velocity_order,acceleration_order,finest_position_error,finest_velocity_error,finest_acceleration_error,source_policy_closed,strict_external_error_claim_allowed,paper_claim_scope,issues,required_action
single_pendulum,local_Gauss6_FullVA,local proposed method,ok,local_proposed_method,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,6.012803915752966,5.801328578195651,,3.3233240878418187e-14,1.1551877762897842e-12,,True,False,internal_order_evidence,none,internal method row; not an external baseline source-policy row
single_pendulum,hi2022_rA,Fang/Kissel/Zhang/Negrut 2022,ok,public_code_bounded_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,9.342785049480728e-05,1.0048086154087903,2.2435897560120948,1.0457079655152234e-10,0.07724512569144606,0.1353205816253222,False,False,bounded_common_reference_diagnostic_not_source_policy_superiority,position_aligned_velocity_mismatch|source_policy_not_closed,bounded T=0.1 replay; full T=8 public policy is not closed
single_pendulum,hi2022_rA_half,Fang/Kissel/Zhang/Negrut 2022,ok,public_code_bounded_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,-1.5316469644520793e-06,1.8406313645741985,3.111470384362379,1.0457035246231285e-10,0.07724512569111117,0.13532058166056263,False,False,bounded_common_reference_diagnostic_not_source_policy_superiority,position_aligned_velocity_mismatch|source_policy_not_closed,bounded T=0.1 replay; full T=8 public policy is not closed
single_pendulum,ra2021_rA,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,0.0004520176808982067,0.6168510882974088,1.5067797688496678,1.0449974229687651e-10,13.048835859820088,3876.5027201816038,False,False,bounded_common_reference_diagnostic_not_source_policy_superiority,position_aligned_velocity_mismatch|source_policy_not_closed,"verify velocity mapping, time grid, norm, and runtime before source-policy superiority"
single_pendulum,ra2021_reps,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,-1.9398021467757243,0.6168510900491304,1.5067797705643196,6.609660352030609e-14,13.048835859331048,3876.5027200511818,False,False,bounded_common_reference_diagnostic_not_source_policy_superiority,position_aligned_velocity_mismatch|source_policy_not_closed,"verify velocity mapping, time grid, norm, and runtime before source-policy superiority"
single_pendulum,ra2021_rp,Kissel/Taves/Negrut 2021,ok,public_code_replay,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,-0.0684637392859857,0.5168125044779709,1.5115342203778,1.1137700720795299e-14,14.98997809311229,3851.0364481709694,False,False,bounded_common_reference_diagnostic_not_source_policy_superiority,position_aligned_velocity_mismatch|source_policy_not_closed,"verify velocity mapping, time grid, norm, and runtime before source-policy superiority"
single_pendulum,tfe2026_Newmark_beta,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,-1.5317803158088222e-06,0.9007970954347223,1.8830470695839758,1.0457013043656772e-10,14.790935093291326,7670.535771021044,False,False,formula_proxy_diagnostic_not_original_paper_superiority,position_aligned_velocity_mismatch|source_policy_not_closed|original_tfe_runner_and_friction_source_policy_open,"resolve the original TFE source-policy DAE runner, Brown--McPhee source-code-equivalent friction law, full T=10 endpoint/output policy, and work rows or demote"
single_pendulum,tfe2026_TFE_m1,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,3.629063281944124e-15,1.0208211940993241,4.370028683567199,1.0456990838229744e-10,14.982446288217862,289.9617256396023,False,False,formula_proxy_diagnostic_not_original_paper_superiority,position_aligned_velocity_mismatch|source_policy_not_closed|original_tfe_runner_and_friction_source_policy_open,"resolve the original TFE source-policy DAE runner, Brown--McPhee source-code-equivalent friction law, full T=10 endpoint/output policy, and work rows or demote"
single_pendulum,tfe2026_TFE_m2,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,6.341948656368308e-11,0.0537298177876258,-0.4859726760202893,1.0456990837310336e-10,110.22022919229548,2085535.0109487365,False,False,formula_proxy_diagnostic_not_original_paper_superiority,position_aligned_velocity_mismatch|source_policy_not_closed|original_tfe_runner_and_friction_source_policy_open,"resolve the original TFE source-policy DAE runner, Brown--McPhee source-code-equivalent friction law, full T=10 endpoint/output policy, and work rows or demote"
single_pendulum,tfe2026_trapezoidal,original TFE paper,ok,local_formula_proxy,1.0000000000000001e-01|5.0000000000000003e-02|2.5000000000000001e-02,0.1,0.0125,analytic_exact_single_pendulum,final_l2,1.466366817024148e-15,1.024464124340307,4.648598900391147,1.0457013043656772e-10,14.982640405168288,199.0575921488269,False,False,formula_proxy_diagnostic_not_original_paper_superiority,position_aligned_velocity_mismatch|source_policy_not_closed|original_tfe_runner_and_friction_source_policy_open,"resolve the original TFE source-policy DAE runner, Brown--McPhee source-code-equivalent friction law, full T=10 endpoint/output policy, and work rows or demote"
